bin_left,bin_right,count
0.00000,0.02500,0
0.02500,0.05000,0
0.05000,0.07500,0
0.07500,0.10000,0
0.10000,0.12500,0
0.12500,0.15000,2
0.15000,0.17500,64
0.17500,0.20000,863
0.20000,0.22500,6478
0.22500,0.25000,13887
0.25000,0.27500,18140
0.27500,0.30000,8579
0.30000,0.32500,1723
0.32500,0.35000,255
0.35000,0.37500,9
0.37500,0.40000,0
0.40000,0.42500,0
0.42500,0.45000,0
0.45000,0.47500,0
0.47500,0.50000,0
0.50000,0.52500,0
0.52500,0.55000,0
0.55000,0.57500,0
0.57500,0.60000,0
0.60000,0.62500,0
0.62500,0.65000,0
0.65000,0.67500,0
0.67500,0.70000,0
0.70000,0.72500,0
0.72500,0.75000,0
0.75000,0.77500,0
0.77500,0.80000,0
0.80000,0.82500,0
0.82500,0.85000,0
0.85000,0.87500,0
0.87500,0.90000,0
0.90000,0.92500,0
0.92500,0.95000,0
0.95000,0.97500,0
0.97500,1.00000,0
